panelid_2,Panel_PSU,Panel_Strata,Jun21_WeightBoost,Jun21_IntDate,Jun21_IntMode,ff_disact,Cur_GOR,cur_urbrurew,cur_urbrurs,Cur_Sex,Cur_RClassGp,Cur_AgeCat,Cur_HEdQual,Cur_RelStat5,Cur_HHSize5,Cur_HHChild,Cur_HHType,Cur_SubjInc,Cur_HHIncome4_21,Cur_HHIncome4_21_Imputed,Cur_HHIncomeEquiv4_21,Cur_HHIncomeEquiv4_21_Imputed,Cur_IdentClass,Cur_PartyID5,Cur_Ethnic6,Cur_IntUse3,Tenure,MortCost,RentCost,CvBedRoom,HomeProb01,HomeProb02,HomeProb03,HomeProb04,HomeProb05,HomeProb06,HomeProb07,HomeProb08,HomeProb09,HomeProb10,HomeProb11,HomeProb12,HomeProb13,HomeProb14,HomeProb15,HomeProb16,HomeProb17,HomeProb_Oth,NeighQual_CrimeSafety_q,NeighQual_TrafficSafety_q,NeighQual_FoodStores_q,NeighQual_AccessPubTrans_q,NeighQual_AccessSocCult_q,NeighQual_AccessRetail_q,NeighQual_AccessRec_q,NeighQual_EaseWalk_q,NeighQual_EaseCycle_q,NeighQual_OutdoorPlay_q,NeighQual_QualitySchools_q,NeighQual_NeighbourSoc_q,MovHom,EconActPreCov1,EconActPreCov2,EconActPreCov3,EconActPreCov4,EconActPreCov5,WorkTimePreCov,WFHPreCov,CommuteModePreCov,CommuteTimePreCov,FoodShopModePreCov,FoodTimePreCov,EconAct,WorkTime,WFH,CommuteMode,CommuteTime,FoodShopMode,FoodTime,Health
109050.0,11801864.0,9.0,1.2101151522401776,13842706319.0,Web,3.0,9.0,1.0,,1.0,1.0,1.0,2.0,5.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,12.0,,,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,,9.0,45.0,6.0,15.0,1.0,,,11.0,,9.0,20.0,1.0
118890.0,11802264.0,11.0,0.9041413373035955,13842719009.0,Web,2.0,11.0,,2.0,1.0,1.0,4.0,1.0,1.0,4.0,2.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,11.0,,0.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.0,3.0,4.0,3.0,5.0,5.0,2.0,1.0,4.0,1.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,37.0,5.0,3.0,180.0,3.0,40.0,3.0,37.0,1.0,,,3.0,40.0,4.0
107526.0,11801455.0,2.0,0.38549306825728724,13843081539.0,Web,3.0,2.0,1.0,,1.0,1.0,6.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,11.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,2.0,3.0,5.0,1.0,5.0,5.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,,,,,9.0,35.0,7.0,,,,,9.0,35.0,1.0
114038.0,11900960.0,8.0,0.31647113617706774,13843759030.0,Phone,3.0,8.0,2.0,,1.0,8.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,11.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,35.0,3.0,6.0,10.0,6.0,30.0,3.0,,3.0,9.0,15.0,6.0,30.0,1.0
112090.0,11900561.0,9.0,0.2738759448850073,13843086944.0,Web,3.0,9.0,2.0,,1.0,1.0,6.0,1.0,5.0,1.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,11.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,2.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,9.0,,,,,6.0,25.0,2.0
109298.0,11802322.0,11.0,0.6702066162148324,13843061203.0,Web,1.0,11.0,,1.0,1.0,1.0,6.0,3.0,4.0,1.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,11.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,,,,,3.0,22.0,7.0,,,,,3.0,22.0,4.0
116208.0,11901671.0,9.0,0.7979544588554629,13844345111.0,Phone,3.0,9.0,1.0,,2.0,1.0,1.0,2.0,5.0,3.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,11.0,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,3.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,,,7.0,120.0,6.0,20.0,1.0,,,6.0,120.0,6.0,20.0,1.0
103975.0,11802166.0,8.0,0.5542634639424223,13843068067.0,Web,2.0,8.0,1.0,,1.0,1.0,4.0,1.0,5.0,1.0,2.0,1.0,2.0,,1.0,,2.0,2.0,2.0,1.0,1.0,11.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,30.0,5.0,2.0,90.0,9.0,20.0,3.0,35.0,1.0,,,9.0,20.0,2.0
118503.0,11900334.0,3.0,0.3635760911186298,13843052005.0,Web,3.0,3.0,1.0,,2.0,3.0,5.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,11.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,,,,,6.0,10.0,8.0,,,,,6.0,10.0,2.0
108768.0,12001191.0,7.0,0.38053487750479,13843498287.0,Web,3.0,7.0,1.0,,1.0,1.0,2.0,1.0,5.0,3.0,2.0,5.0,3.0,,1.0,,1.0,2.0,2.0,3.0,3.0,11.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,4.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,,,,,9.0,10.0,8.0,,,,,7.0,10.0,3.0
